stock_symbol,operating_profit_sep_2021,operating_profit_sep_2022,eps_sep_2021,eps_sep_2022,promoter_holding_sep_2021,promoter_holding_sep_2022,public_holding_sep_2021,public_holding_sep_2022
NIITLTD,9,1,3.84,1.35,35.12,34.88,29.93,32.02
NILASPACES,-1.49,-1.02,0.01,-0.00,61.90,61.90,32.43,34.38
NIRAJ,0.98,1.01,0.11,0.20,24.26,24.26,75.74,75.74
NITINSPIN,177,57,15.54,5.18,56.17,56.36,37.02,34.26
NKIND,0.37,0.37,-0.85,-1.16,72.05,72.77,27.93,27.21
NOCIL,49,61,1.83,2.16,33.88,33.84,59.56,56.58
NOVARTIND,7,16,2.84,7.43,70.68,70.68,28.51,28.37
NSIL,43,94,68.47,136.29,55.61,55.62,38.50,38.82
NURECA,None,None,None,None,None,None,None,None
NYKAA,None,None,None,None,None,None,None,None
OBEROIRLTY,227,44,4.90,3.83,67.70,67.71,2.76,2.49
OIL,913,1848,4.65,15.87,56.66,56.66,15.27,6.32
OMAXAUTO,-3,-0,-1.58,-11.10,57.67,56.35,42.33,43.56
OMINFRAL,14.60,-3.53,1.59,-0.64,71.68,71.68,28.32,28.30
ONEPOINT,8.46,8.53,0.03,0.10,None,None,None,None
ONWARDTEC,4.74,3.34,1.76,0.55,57.33,45.51,41.95,29.87
ORCHPHARMA,7.44,17.82,7.84,-0.81,90.00,89.96,4.83,5.69
ORIENTABRA,4.32,3.98,0.12,0.15,63.58,63.58,23.19,23.15
ORIENTCEM,133.98,32.55,2.78,-0.46,37.37,37.90,40.74,44.38
ORIENTHOT,4,23,-0.28,0.61,67.59,67.56,22.06,31.24
ORISSAMINE,22.91,-2.26,28.28,-9.77,50.01,50.01,34.37,40.12
OSWALAGRO,-2,-2,0.06,0.81,41.74,41.89,57.66,57.64
PALASHSECU,0.55,2.30,1.86,2.37,68.96,71.85,30.26,27.37
PANACHE,-0.28,1.15,0.30,0.17,None,None,None,None
PANSARI,None,None,None,None,None,None,None,None
PARADEEP,None,None,None,None,None,None,None,None
PARSVNATH,-5,-8,-0.78,-0.98,69.14,66.26,30.33,33.49
PATELENG,96,111,0.13,0.30,54.62,43.48,27.61,32.39
PBAINFRA,-3.54,-0.11,0.50,-0.61,54.70,54.70,45.30,45.31
PCJEWELLER,36,135,-1.63,1.57,54.53,54.53,43.19,42.56
PDSL,6.28,5.11,0.32,0.31,66.65,66.52,29.11,29.17
PENIND,36,37,0.50,0.80,37.69,39.75,62.13,59.60
PERSISTENT,201,259,19.94,22.91,31.26,31.26,18.51,20.44
PFIZER,189,232,31.25,68.00,63.92,63.92,18.86,18.65
PFS,214,179,0.82,0.82,64.99,64.99,32.95,30.25
PGHH,301,214,67.25,47.57,70.64,70.64,13.31,13.12
PHOENIXLTD,26,80,0.89,2.89,45.48,47.31,4.19,4.48
PILANIINVS,100,125,61.09,72.06,57.55,57.55,41.84,41.66
PIONEEREMB,7.66,2.29,1.40,2.70,32.86,32.86,57.36,57.71
PKTEA,3.54,1.95,6.14,2.20,None,None,None,None
PLASTIBLEN,11.04,8.12,2.12,1.62,64.27,63.60,34.18,35.43
PNBHOUSING,None,None,13.84,15.59,32.58,32.57,38.37,40.90
PNCINFRA,222,207,5.28,5.11,56.07,56.07,4.03,5.06
POKARNA,3.16,1.40,0.04,0.43,56.66,56.66,35.56,30.63
POLYCAB,289,414,13.27,17.56,68.36,67.97,15.97,15.24
PONNIERODE,14,19,15.13,25.27,42.36,42.36,32.93,34.39
POWERINDIA,None,None,None,None,None,None,None,None
PPL,20,22,5.21,5.49,41.72,44.27,58.17,55.10
PRAKASH,99,103,2.41,2.46,40.98,43.29,57.07,54.84
PRAXIS,3.62,-9.68,0.90,0.33,66.66,55.66,27.07,40.28
PRECWIRE,30,31,0.86,0.84,59.67,59.67,40.17,39.57
PREMIERPOL,3.56,4.67,0.70,0.93,67.42,67.47,31.15,31.11
PRICOLLTD,45,55,1.08,3.49,36.53,36.53,52.96,48.14
PRITI,None,None,None,None,None,None,None,None
PROZONINTU,-0.53,-0.44,0.08,0.11,27.81,27.38,65.63,38.24
PSB,None,None,0.54,0.41,97.07,98.25,1.84,1.07
PTL,14.40,14.50,0.91,0.67,69.82,69.82,21.87,21.84
PURVA,42,5,0.08,-1.00,75.00,75.00,6.70,7.07
QUESS,2,40,-2.46,1.39,51.82,51.81,12.29,16.91
RADICO,111,90,5.18,3.88,40.27,40.27,21.00,18.01
RAIN,-0,-3,0.00,0.96,41.14,41.14,46.32,39.39
RAJESHEXPO,51,41,1.76,1.38,54.05,54.05,18.68,16.97
RAJSREESUG,1.40,6.42,-2.81,0.07,40.66,40.65,44.33,44.33
RAMANEWS,-9.13,0.38,-1.83,-0.60,74.76,74.76,23.61,23.61
RAMCOIND,36,17,2.14,1.94,54.03,53.97,39.28,39.58
RAMKY,-99,58,2.72,7.23,69.83,69.83,30.02,29.91
RANEHOLDIN,25,28,12.00,14.76,46.40,46.58,48.87,50.97
RATNAMANI,111,145,10.20,14.09,60.16,60.10,12.65,11.14
RBA,None,None,None,None,None,None,None,None
RCF,185,405,2.11,4.67,75.00,75.00,23.66,21.27
RECLTD,8910,9155,10.40,10.36,52.63,52.63,11.06,11.97
REGENCERAM,-0.50,-0.18,-0.59,-0.47,60.59,60.59,37.82,37.83
RELCAPITAL,153,-25,-10.02,-1.02,1.51,0.89,94.34,94.67
RELIANCE,12377,11987,14.56,10.22,50.61,50.56,10.60,10.78
